cdm_id,fy1c_norad_id,other_norad_id,other_name,other_type,miss_distance_km,collision_probability,fy_perigee,fy_apogee,fy_inclination,other_perigee,other_apogee,other_inclination,other_country
1394976399,37928,30391,FENGYUN 1C DEB,DEBRIS,178.0,0.0001144851,714.958,817.446,98.9013,784.526,887.381,98.7631,PRC
1396064733,37918,30895,FENGYUN 1C DEB,DEBRIS,154.0,0.0001143261,736.298,813.992,99.0465,629.905,940.875,98.6969,PRC
1396373430,30706,12713,COSMOS 1275 DEB,DEBRIS,12.0,0.0008556953,781.56,821.769,99.0572,775.254,794.503,82.9468,CIS
1395416615,30706,12713,COSMOS 1275 DEB,DEBRIS,208.0,0.000207468,781.56,821.769,99.0572,775.254,794.503,82.9468,CIS
1397009870,30467,54446,CZ-6A DEB,DEBRIS,48.0,0.00013396,785.585,879.931,98.6612,810.033,1112.924,98.8369,PRC
1395430391,31239,38285,METEOR 2-17 DEB,DEBRIS,418.0,0.0001003549,822.743,895.539,98.7667,888.185,906.468,82.5429,CIS
1396036053,31239,38285,METEOR 2-17 DEB,DEBRIS,392.0,0.000104771,822.743,895.539,98.7667,888.185,906.468,82.5429,CIS
1396372350,30248,4071,SL-8 R/B,ROCKET BODY,333.0,0.0001840101,656.027,696.881,99.0966,661.379,682.126,74.05,CIS
1395415426,30248,4071,SL-8 R/B,ROCKET BODY,305.0,0.0001008424,656.027,696.881,99.0966,661.379,682.126,74.05,CIS
1396051526,30248,4071,SL-8 R/B,ROCKET BODY,135.0,0.0001520598,656.027,696.881,99.0966,661.379,682.126,74.05,CIS
1397058312,30064,61381,CZ-6A DEB,DEBRIS,91.0,0.0002044145,796.328,892.534,98.6569,785.069,874.572,88.9757,PRC
1396471121,30064,61381,CZ-6A DEB,DEBRIS,168.0,0.0001000877,796.328,892.534,98.6569,785.069,874.572,88.9757,PRC
1395494361,30064,61381,CZ-6A DEB,DEBRIS,163.0,0.0002500034,796.328,892.534,98.6569,785.069,874.572,88.9757,PRC
1396404441,47100,8458,COSMOS 783,PAYLOAD,551.0,0.0001889775,652.934,771.308,99.0224,770.632,787.718,74.0587,CIS
1395414360,29791,28479,SHIYAN 2 (SY-2),PAYLOAD,392.0,0.0001560269,665.012,718.479,99.0319,665.106,679.747,98.0589,PRC
1396371324,29791,28479,SHIYAN 2 (SY-2),PAYLOAD,702.0,0.0001264777,665.012,718.479,99.0319,665.106,679.747,98.0589,PRC
1398936290,33665,1272,PORCUPINE 1,PAYLOAD,60.0,0.0002727974,550.098,1205.174,99.034,896.538,929.059,70.0805,US
1398017530,33665,1272,PORCUPINE 1,PAYLOAD,17.0,0.0002211835,550.098,1205.174,99.034,896.538,929.059,70.0805,US
1396961959,33665,1272,PORCUPINE 1,PAYLOAD,106.0,0.000123522,550.098,1205.174,99.034,896.538,929.059,70.0805,US
1397341412,33665,1272,PORCUPINE 1,PAYLOAD,180.0,0.0001605581,550.098,1205.174,99.034,896.538,929.059,70.0805,US
1396939951,30549,446,ANNA 1B,PAYLOAD,206.0,0.0005736335,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1397336423,30549,446,ANNA 1B,PAYLOAD,179.0,0.0008083595,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1399567181,30549,446,ANNA 1B,PAYLOAD,181.0,0.001066252,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1398012615,30549,446,ANNA 1B,PAYLOAD,84.0,0.0009663949,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1398936102,30549,446,ANNA 1B,PAYLOAD,83.0,0.001061826,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1395416240,30549,446,ANNA 1B,PAYLOAD,775.0,0.0002891584,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1396373097,30549,446,ANNA 1B,PAYLOAD,865.0,0.0003200779,686.95,1102.129,98.4891,1073.886,1179.327,50.1401,US
1399648603,37928,55551,CZ-6A DEB,DEBRIS,109.0,0.0002621112,714.958,817.446,98.9013,646.334,798.889,98.6091,PRC
1400085498,37928,55551,CZ-6A DEB,DEBRIS,122.0,0.0001101972,714.958,817.446,98.9013,646.334,798.889,98.6091,PRC
1397014426,37928,55551,CZ-6A DEB,DEBRIS,281.0,0.0001066684,714.958,817.446,98.9013,646.334,798.889,98.6091,PRC
1399565644,29938,29215,CZ-4B DEB,DEBRIS,149.0,0.0001465953,844.362,891.235,98.8146,840.955,1201.339,98.7356,PRC
1397334871,29938,29215,CZ-4B DEB,DEBRIS,210.0,0.0002016749,844.362,891.235,98.8146,840.955,1201.339,98.7356,PRC
1398011122,29938,29215,CZ-4B DEB,DEBRIS,154.0,0.0002763519,844.362,891.235,98.8146,840.955,1201.339,98.7356,PRC
